id,keyword,text,publication_year
https://openalex.org/W3119049892,big data,Learning analytics for higher education: proposal of big data ingestion architecture,2021
https://openalex.org/W2545211134,big data,pg-Causality: Identifying Spatiotemporal Causal Pathways for Air Pollutants with Urban Big Data,2017
https://openalex.org/W3006916655,big data,Big data analytics for retail industry using MapReduce-Apriori framework,2020
https://openalex.org/W2082671441,big data,Processing and Analytics of Big Data Streams with Yahoo!S4,2015
https://openalex.org/W2069281202,big data,Big Data challenges in building the Global Earth Observation System of Systems,2015
https://openalex.org/W2412431176,big data,"Introduction to Big Data in Radiation Oncology: Exploring Opportunities for Research, Quality Assessment, and Clinical Care",2016
https://openalex.org/W2969972980,big data,Big data in status epilepticus,2019
https://openalex.org/W4400291941,big data,Implications of Big Data in Accounting: Challenges and Opportunities,2024
https://openalex.org/W2794992076,big data,Big data analytics in supply chain and logistics: an empirical approach,2018
https://openalex.org/W2778158661,big data,Big data drives the development of Earth science,2017
https://openalex.org/W1526087003,quantum computing,Lanthanide Complexes as Realizations of Qubits and Qugates for Quantum Computing,2015
https://openalex.org/W2611929736,quantum computing,On-chip quantum interference with heralded photons from two independent micro-ring resonator sources in silicon photonics,2018
https://openalex.org/W3164032799,quantum computing,Quantum Machine Learning Algorithms for Drug Discovery Applications,2021
https://openalex.org/W1583161439,quantum computing,Towards reversible QCA computers: Reversible gates and ALU,2015
https://openalex.org/W3180151525,quantum computing,Focusing on the hybrid quantum computing - Tabu search algorithm,2021
https://openalex.org/W2970717084,quantum computing,"Study on solute-solvent interactions in the aqueous solutions containing guaifenesin drug, sodium chloride and potassium chloride salts in viewpoint of volumetric, electrical conductivity properties and quantum computing",2019
https://openalex.org/W3196100502,quantum computing,Bermudan option pricing by quantum amplitude estimation and Chebyshev interpolation,2022
https://openalex.org/W2616319809,quantum computing,Collective strong coupling of cold atoms to an all-fiber ring cavity,2017
https://openalex.org/W4320919591,quantum computing,Quantum chemistry simulation of ground- and excited-state properties of the sulfonium cation on a superconducting quantum processor,2023
https://openalex.org/W1967819975,quantum computing,An introduction into fault-tolerant quantum computing,2015
https://openalex.org/W3096124105,artificial general intelligence,Cystoscopic Imaging for Bladder Cancer Detection Based on Stepwise Organic Transfer Learning with a Pretrained Convolutional Neural Network,2020
https://openalex.org/W3000144657,artificial general intelligence,Impact of artificial intelligence on radiology: a EuroAIM survey among members of the European Society of Radiology,2019
https://openalex.org/W3119718205,artificial general intelligence,"Mindplexes, Non-Ordinary Consciousness, and Artificial General Intelligence",2019
https://openalex.org/W4296426182,artificial general intelligence,Leveraging Traditional Design for Reliability Techniques for Artificial Intelligence,2022
https://openalex.org/W4395687088,artificial general intelligence,Understanding Privacy Risks of Embeddings Induced by Large Language Models,2024
https://openalex.org/W4389295302,artificial general intelligence,"Autonomy, Intention, Performativity: Navigating the AI Divide",2023
https://openalex.org/W7107956447,artificial general intelligence,"A Tripartite Architecture for Safe Artificial General Intelligence: Hardware-Enforced Ethics, Research-Grounded Harm Ontology, and Embodiment-Gated Cognition",2025
https://openalex.org/W7108445374,artificial general intelligence,Foundational Principles Reimagined: Architecting Robust and General Artificial Intelligence,2025
https://openalex.org/W4389315592,artificial general intelligence,Exploring the Potential of ChatGPT-4 in Predicting Refractive Surgery Categorizations: Comparative Study,2023
https://openalex.org/W4385643984,artificial general intelligence,Digital twin brain: a bridge between biological intelligence and artificial intelligence,2023
https://openalex.org/W4360798727,blockchain,Inventory management and information sharing based on blockchain technology,2023
https://openalex.org/W3089263134,blockchain,A Medical Data Privacy Protection Scheme Based on Blockchain and Cloud Computing,2020
https://openalex.org/W4313479788,blockchain,Sustainable finance and blockchain: A systematic review and research agenda,2023
https://openalex.org/W3216765501,blockchain,ChainSensing: A Novel Mobile Crowdsensing Framework With Blockchain,2021
https://openalex.org/W3193771755,blockchain,An Incentive Mechanism for Sustainable Blockchain Storage,2022
https://openalex.org/W4311625327,blockchain,Blockchain acceptance rate prediction in the resilient supply chain with hybrid system dynamics and machine learning approach,2022
https://openalex.org/W3125826426,blockchain,"A literature review of blockchain technology applications in supply chains: A comprehensive analysis of themes, methodologies and industries",2021
https://openalex.org/W4391468023,blockchain,Secure and Efficient Federated Learning Through Layering and Sharding Blockchain,2024
https://openalex.org/W4311903556,blockchain,The role of blockchain technology in the transition toward the circular economy: Findings from a systematic literature review,2022
https://openalex.org/W2910972514,blockchain,Privacy-friendly platform for healthcare data in cloud based on blockchain environment,2019
https://openalex.org/W3000128837,cryptocurrency,"Algorithms, Blockchain &amp; Cryptocurrency: Implications for the Future of the Workplace",2020
https://openalex.org/W4391752736,cryptocurrency,"Prediction Of Cryptocurrency Prices Using Lstm, Svm And Polynomial Regression",2024
https://openalex.org/W3107109276,cryptocurrency,ADVANCED TECHNOLOGIES IN THE FIELD OF FINANCE - CRYPTOCURRENCY,2018
https://openalex.org/W4200588905,cryptocurrency,Unsupervised Learning Based Detection Method for The Life Cycle of Virtual Cryptocurrency,2021
https://openalex.org/W4282022719,cryptocurrency,Safer Gambling and Consumer Protection Failings Among 40 Frequently Visited Cryptocurrency-Based Online Gambling Operators,2022
https://openalex.org/W4323021509,cryptocurrency,GeoFencing and Cryptocurrency Exchange Platforms; with Blockchain Anonymity,2022
https://openalex.org/W3157376894,cryptocurrency,Forecasting Value-at-Risk and Expected Shortfall of Cryptocurrencies using Combinations based on Jump-Robust and Regime-Switching Models,2020
https://openalex.org/W4322102626,cryptocurrency,Cryptocurrency is accounting coordination: Selfish mining and double spending in a simple mining game,2023
https://openalex.org/W2765837857,cryptocurrency,Bitcoin and other cryptocurrencies where are theygoing?,2017
https://openalex.org/W2900717462,cryptocurrency,An analysis of cryptocurrencies conditional cross correlations,2019
https://openalex.org/W4321192275,metaverse,DDoS Attack Detection Through Digital Twin Technique in Metaverse,2023
https://openalex.org/W4384924296,metaverse,The metaverse revolution: The end of traditional classrooms?,2023
https://openalex.org/W4409206448,metaverse,The Integration and Innovation of NFT and Digital Twin Technologies in Metaverse Architecture,2025
https://openalex.org/W4408658423,metaverse,Towards a Responsible Metaverse,2024
https://openalex.org/W4400142593,metaverse,A Context-Aware Onboarding Agent for Metaverse Powered by Large Language Models,2024
https://openalex.org/W4312140004,metaverse,The future of health in the metaverse,2022
https://openalex.org/W4392694293,metaverse,Tribal Streetwear will be the First Aesthetic Ethnicity for the Digital Metaverse,2024
https://openalex.org/W4392001594,metaverse,"Creating in the metaverse: An <scp>SSRL</scp>‐based collaborative painting approach to promote students' creativity, socially shared regulation and positive painting behaviours",2024
https://openalex.org/W3217363680,metaverse,A Study on Factors Affecting the Intention to Use the Metaverse by Applying the Extended Technology Acceptance Model(ETAM) : Focused on the Virtual World Metaverse,2021
https://openalex.org/W4396797754,metaverse,Criminal Law in the Metaverse: Defining Wrongdoing in a Virtual World,2024
https://openalex.org/W4384834289,edge computing,Remote Sensing Detection and Resource Utilisation of Urban Sewage Sludge Based on Mobile Edge Computing,2023
https://openalex.org/W4401508188,edge computing,INVAR: Inversion Aware Resource Provisioning and Workload Scheduling for Edge Computing,2024
https://openalex.org/W3117755275,edge computing,Distributed and Dynamic Service Placement in Pervasive Edge Computing Networks,2020
https://openalex.org/W2980073220,edge computing,An Overview of Service Placement Problem in Fog and Edge Computing,2020
https://openalex.org/W2972911562,edge computing,A Survey of Mobile Edge Computing in the Industrial Internet,2019
https://openalex.org/W3155922890,edge computing,Reliability-Optimal Offloading in Low-Latency Edge Computing Networks: Analytical and Reinforcement Learning Based Designs,2021
https://openalex.org/W4387609187,edge computing,Joint Service Request Scheduling and Container Retention in Serverless Edge Computing for Vehicle-Infrastructure Collaboration,2023
https://openalex.org/W3005691212,edge computing,Edge Computing Terminal Equipment Planning Method for Real-time Online Monitoring Service of Power Grid,2019
https://openalex.org/W2933625913,edge computing,"Enabling Workload Engineering in Edge, Fog, and Cloud Computing through OpenStack-based Middleware",2019
https://openalex.org/W3094747607,edge computing,Distributed task offloading strategy to low load base stations in mobile edge computing environment,2020
https://openalex.org/W4395089732,generative ai,Regulating Generative AI: Ethical Considerations and Explainability Benchmarks,2024
https://openalex.org/W4406195132,generative ai,Emotional analysis of operating room nurses in acute care hospitals in Japan: insights using ChatGPT,2025
https://openalex.org/W4394844294,generative ai,Improving EFL students’ cultural awareness: Reframing moral dilemmatic stories with ChatGPT,2024
https://openalex.org/W4400835933,generative ai,Integrating Multimodal Generative AI and Blockchain for Enhancing Generative Design in the Early Phase of Architectural Design Process,2024
https://openalex.org/W4385253497,generative ai,"Towards Smart Open Education Ecosystems through Generative AI, Blockchain, DAO, MMLA and NFT",2023
https://openalex.org/W4386423073,generative ai,Applications of large language models in cancer care: current evidence and future perspectives,2023
https://openalex.org/W4399703381,generative ai,ID.8: Co-Creating Visual Stories with Generative AI,2024
https://openalex.org/W4317667319,generative ai,Generative AI-empowered Effective Physical-Virtual Synchronization in the Vehicular Metaverse,2023
https://openalex.org/W4387559498,generative ai,Prompt-to-OS (P2OS): Revolutionizing Operating Systems and Human-Computer Interaction with Integrated AI Generative Models,2023
https://openalex.org/W4383104257,generative ai,‘Words are Flowing Out Like Endless Rain Into a Paper Cup’: ChatGPT &amp; Law School Assessments,2023
https://openalex.org/W4411120421,chatbot,ChaI-TeA: A Benchmark for Evaluating Autocompletion of Interactions with LLM-based Chatbots,2025
https://openalex.org/W3210541325,chatbot,Incident management assistant using artificial intelligence chatbots,2019
https://openalex.org/W4403827956,chatbot,Business and Customer-Based Chatbot Activities: The Role of Customer Satisfaction in Online Purchase Intention and Intention to Reuse Chatbots,2024
https://openalex.org/W3102316844,chatbot,Value propositions of chatbots to support innovation management processes,2020
https://openalex.org/W2794711161,chatbot,Support of Existing Chatbot Development Framework for Arabic Language: A Brief Survey,2018
https://openalex.org/W2788016921,chatbot,The Ethnobot,2018
https://openalex.org/W4312861993,chatbot,Acceptance of Chatbot based on Emotional Intelligence through Machine Learning Algorithm,2022
https://openalex.org/W4312872460,chatbot,University Chatbot System Using Nlp,2022
https://openalex.org/W4389253262,chatbot,"Intention to use digital mental health solutions: A cross-sectional survey of university students attitudes and perceptions toward online therapy, mental health apps, and chatbots",2023
https://openalex.org/W4394911400,chatbot,NLP based Cotton Crop Advisory: A Dialogflow - Powered Chatbot,2023
https://openalex.org/W2559148941,augmented reality,Augmented Reality with Mobile and Ubiquitous Learning,2016
https://openalex.org/W4281804803,augmented reality,Media Assemblr Edu Berbasis Augmented Reality Untuk Meningkatkan Hasil Belajar Materi Sistem Organisasi Kehidupan Makhluk Hidup,2022
https://openalex.org/W4292013694,augmented reality,Three-dimensional Augmented Reality–guided Robotic-assisted Kidney Transplantation: Breaking the Limit of Atheromatic Plaques,2022
https://openalex.org/W3184909658,augmented reality,Three-dimensional see-through augmented-reality display system using a holographic micromirror array,2021
https://openalex.org/W3178949825,augmented reality,Game-based Learning using Augmented Reality,2021
https://openalex.org/W3130795566,augmented reality,An Augmented Reality Interaction Interface for Autonomous Drone,2020
https://openalex.org/W3135990429,augmented reality,Using augmented reality technologies for STEM education organization,2021
https://openalex.org/W3024276326,augmented reality,Use of Augmented Reality During Inhaled Induction of General Anesthesia in 3 Pediatric Patients: A Case Report,2020
https://openalex.org/W4221010501,augmented reality,AREDAPPS: Mobile Augmented Reality Development and Learning Framework Based on Augmented Reality Technology for Engineering Drawing Course,2022
https://openalex.org/W2908894408,augmented reality,A Review on Using Opportunities of Augmented Reality and Virtual Reality in Construction Project Management,2019
