task_id,text,Piotr,Ondrej,Jakub,Hanka,hype_mean,hype_std,hype_median,n_ratings
1,Big Data and Predictive Analysis is Key to Superior Supply Chain Performance,2,2,2,4,2.5,1.0,2.0,4
2,"Generative artificial intelligence of things systems, multisensory immersive extended reality technologies, and algorithmic big data simulation and modelling tools in digital twin industrial metaverse",1,3,2,2,2.0,0.816496580927726,2.0,4
3,Big-data applications in the government sector,2,1,1,1,1.25,0.5,1.0,4
4,Research on Development Strategy for Smart Grid Big Data,3,2,2,2,2.25,0.5,2.0,4
5,"Big Data: Issues, Challenges, and Techniques in Business Intelligence",2,1,2,2,1.75,0.5,2.0,4
6,Current approaches for executing big data science projects—a systematic literature review,2,1,2,2,1.75,0.5,2.0,4
7,Survey on Big Data Analytics in Public Sector of Russian Federation,1,1,3,3,2.0,1.1547005383792515,2.0,4
8,Carbon price forecasting models based on big data analytics,1,2,2,4,2.25,1.2583057392117916,2.0,4
9,Comparative Study of Big Data Frameworks,1,1,2,2,1.5,0.5773502691896257,1.5,4
10,Putting the data before the algorithm in big data addressing personalized healthcare,3,3,3,4,3.25,0.5,3.0,4
11,"Symbiosis of Semiconductors, AI and Quantum Computing",4,4,3,5,4.0,0.816496580927726,4.0,4
12,Quantum Optical Convolutional Neural Network: A Novel Image Recognition Framework for Quantum Computing,3,3,4,4,3.5,0.5773502691896257,3.5,4
13,"Application-Motivated, Holistic Benchmarking of a Full Quantum Computing Stack: Experimental Data",4,5,4,3,4.0,0.816496580927726,4.0,4
14,EntangleVR: A Visual Programming Interface for Virtual Reality Interactive Scene Generation,4,4,2,4,3.5,1.0,4.0,4
15,Deep-Cryogenic Voltage References in 40-nm CMOS,1,1,3,1,1.5,1.0,1.0,4
16,Time independent universal computing with spin chains: quantum plinko machine,3,3,3,2,2.75,0.5,3.0,4
17,A Blockchain Consensus Protocol Based on Quantum Attack Algorithm,3,3,4,4,3.5,0.5773502691896257,3.5,4
18,Machine Learning and Optimization in Energy Management Systems for Plug-In Hybrid Electric Vehicles: A Comprehensive Review,4,1,4,4,3.25,1.5,4.0,4
19,Machine Learning Approach for Parkinson's disease Prediction through Quantum Computing Techniques,5,3,4,5,4.25,0.9574271077563381,4.5,4
20,Impact of qubit connectivity on quantum algorithm performance,2,2,3,1,2.0,0.816496580927726,2.0,4
21,A Novel Artificial Bee Colony Optimizer with Dynamic Population Size for Multi-level Threshold Image Segmentation,4,3,4,4,3.75,0.5,4.0,4
22,Fearing the Robot Apocalypse: Correlates of AI Anxiety,5,5,5,5,5.0,0.0,5.0,4
23,Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,2,1,3,4,2.5,1.2909944487358056,2.5,4
24,Synthetic Data and Its Utility in Pathology and Laboratory Medicine,2,1,2,3,2.0,0.816496580927726,2.0,4
25,Artificial General Intelligence,1,1,1,2,1.25,0.5,1.0,4
26,"Unknown Future, Repeated Present: A Narrative-Centered Analysis of Long-Term AI Discourse",4,3,4,5,4.0,0.816496580927726,4.0,4
27,How to Create Business Value Through Technological Innovations Using ICCT Underlying Technologies,2,1,2,4,2.25,1.2583057392117916,2.0,4
28,From Large Language Models to Large Multimodal Models: A Literature Review,2,2,2,2,2.0,0.0,2.0,4
29,Integrating artificial intelligence with smartphone-based imaging for cancer detection in vivo,4,2,3,5,3.5,1.2909944487358056,3.5,4
30,Consciousness: A Paradigm Towards Artificial General Intelligence,4,3,3,2,3.0,0.816496580927726,3.0,4
31,An Investigation into Smart Contract Deployment on Ethereum Platform Using Web3.js and Solidity Using Blockchain,3,2,3,1,2.25,0.9574271077563381,2.5,4
32,Blockchain-Based Trustworthy Edge Caching Scheme for Mobile Cyber-Physical System,2,4,4,2,3.0,1.1547005383792515,3.0,4
33,Blockchain – From Public to Private,2,2,2,2,2.0,0.0,2.0,4
34,Practical Lattice-Based Multisignature Schemes for Blockchains,1,3,2,1,1.75,0.9574271077563381,1.5,4
35,Dynamic AES Encryption and Blockchain Key Management: A Novel Solution for Cloud Data Security,2,2,3,2,2.25,0.5,2.0,4
36,BFT-Store: Storage Partition for Permissioned Blockchain via Erasure Coding,1,2,3,1,1.75,0.9574271077563381,1.5,4
37,"A literature review of blockchain technology applications in supply chains: A comprehensive analysis of themes, methodologies and industries",1,1,2,4,2.0,1.4142135623730951,1.5,4
38,The Blockchain for Domain Based Static Sharding,1,3,2,1,1.75,0.9574271077563381,1.5,4
39,Blockchain adoption and channel selection strategies in a competitive remanufacturing supply chain,3,1,2,3,2.25,0.9574271077563381,2.5,4
40,A Privacy-Preserving Trust Model Based on Blockchain for VANETs,1,2,2,1,1.5,0.5773502691896257,1.5,4
41,"Are Cryptocurrencies the New ""Financial Weapons of Mass Destruction""?",5,5,4,5,4.75,0.5,5.0,4
42,"Blockchain - Comparative Study on Bitcoin, Ripple and Libra Cryptocurrencies",1,2,2,4,2.25,1.2583057392117916,2.0,4
43,"Crypto Currency and its Susceptibility to Speculative Bubbles, Manipulation, Scams and Fraud",4,3,3,5,3.75,0.9574271077563381,3.5,4
44,Digital Cryptoeconomics Powered by Digital Cryptocurrency,3,3,2,2,2.5,0.5773502691896257,2.5,4
45,Cryptocurrency – The Next Big Thing,4,3,2,4,3.25,0.9574271077563381,3.5,4
46,Individual Risk Perception and Choice using Cryptocurrency for Transactions,2,3,2,5,3.0,1.4142135623730951,2.5,4
