keyword,publication_year,count,normalized_count
big data,2015,1149,0.801814375436148
big data,2016,1368,0.9546406140963015
big data,2017,1424,0.9937194696441033
big data,2018,1433,1.0
big data,2019,1320,0.9211444521981856
big data,2020,1150,0.8025122121423587
big data,2021,895,0.6245638520586183
big data,2022,586,0.4089323098394976
big data,2023,363,0.25331472435450103
big data,2024,137,0.09560362875087229
big data,2025,9,0.00628053035589672
quantum computing,2015,227,0.1613361762615494
quantum computing,2016,273,0.19402985074626866
quantum computing,2017,300,0.21321961620469082
quantum computing,2018,447,0.31769722814498935
quantum computing,2019,579,0.4115138592750533
quantum computing,2020,779,0.5536602700781805
quantum computing,2021,1003,0.7128642501776831
quantum computing,2022,1122,0.7974413646055437
quantum computing,2023,1407,1.0
quantum computing,2024,1290,0.9168443496801706
quantum computing,2025,626,0.4449182658137882
artificial general intelligence,2015,27,0.05578512396694215
artificial general intelligence,2016,31,0.0640495867768595
artificial general intelligence,2017,55,0.11363636363636363
artificial general intelligence,2018,110,0.22727272727272727
artificial general intelligence,2019,122,0.25206611570247933
artificial general intelligence,2020,211,0.4359504132231405
artificial general intelligence,2021,227,0.4690082644628099
artificial general intelligence,2022,256,0.5289256198347108
artificial general intelligence,2023,484,1.0
artificial general intelligence,2024,469,0.96900826446281
artificial general intelligence,2025,362,0.7479338842975206
blockchain,2015,37,0.018509254627313655
blockchain,2016,160,0.080040020010005
blockchain,2017,568,0.28414207103551775
blockchain,2018,1203,0.6018009004502252
blockchain,2019,1732,0.8664332166083042
blockchain,2020,1999,1.0
blockchain,2021,1848,0.9244622311155578
blockchain,2022,1436,0.7183591795897949
blockchain,2023,785,0.39269634817408705
blockchain,2024,229,0.11455727863931967
blockchain,2025,2,0.0010005002501250625
cryptocurrency,2015,92,0.05931656995486783
cryptocurrency,2016,123,0.07930367504835589
cryptocurrency,2017,270,0.17408123791102514
cryptocurrency,2018,882,0.5686653771760155
cryptocurrency,2019,1243,0.8014184397163121
cryptocurrency,2020,1208,0.7788523533204385
cryptocurrency,2021,1206,0.7775628626692457
cryptocurrency,2022,1432,0.9232753062540296
cryptocurrency,2023,1551,1.0
cryptocurrency,2024,1076,0.693745970341715
cryptocurrency,2025,380,0.24500322372662797
metaverse,2015,8,0.0023128071697022263
metaverse,2016,11,0.003180109858340561
metaverse,2017,9,0.0026019080659150044
metaverse,2018,9,0.0026019080659150044
metaverse,2019,9,0.0026019080659150044
metaverse,2020,20,0.005782017924255565
metaverse,2021,182,0.05261636311072564
metaverse,2022,1980,0.572419774501301
metaverse,2023,3459,1.0
metaverse,2024,2896,0.8372361954322058
metaverse,2025,1285,0.37149465163342005
edge computing,2015,12,0.007100591715976331
edge computing,2016,92,0.054437869822485205
edge computing,2017,345,0.20414201183431951
edge computing,2018,789,0.4668639053254438
edge computing,2019,1319,0.7804733727810651
edge computing,2020,1565,0.9260355029585798
edge computing,2021,1690,1.0
edge computing,2022,1638,0.9692307692307692
edge computing,2023,1339,0.7923076923076923
edge computing,2024,856,0.506508875739645
edge computing,2025,117,0.06923076923076923
,2015,0,0.0
,2016,0,0.0
generative ai,2017,3,0.0006479481641468683
generative ai,2018,3,0.0006479481641468683
generative ai,2019,6,0.0012958963282937365
generative ai,2020,16,0.0034557235421166306
generative ai,2021,22,0.004751619870410367
generative ai,2022,48,0.010367170626349892
generative ai,2023,1813,0.3915766738660907
generative ai,2024,4630,1.0
generative ai,2025,2852,0.6159827213822894
chatbot,2015,18,0.007296311309282529
chatbot,2016,46,0.018646128901499796
chatbot,2017,167,0.06769355492501013
chatbot,2018,409,0.16578840697203082
chatbot,2019,676,0.27401702472638834
chatbot,2020,888,0.3599513579246048
chatbot,2021,1012,0.41021483583299556
chatbot,2022,1145,0.4641264693960276
chatbot,2023,2098,0.8504256181597082
chatbot,2024,2467,1.0
chatbot,2025,928,0.3761653830563437
augmented reality,2015,567,0.38466757123473544
augmented reality,2016,679,0.460651289009498
augmented reality,2017,859,0.5827679782903663
augmented reality,2018,1138,0.7720488466757124
augmented reality,2019,1351,0.9165535956580733
augmented reality,2020,1474,1.0
augmented reality,2021,1381,0.9369063772048847
augmented reality,2022,1201,0.8147896879240163
augmented reality,2023,884,0.5997286295793759
augmented reality,2024,402,0.2727272727272727
augmented reality,2025,24,0.016282225237449117
