keyword,publication_year,count,normalized_count
artificial general intelligence,2015,27,0.055441478439425054
artificial general intelligence,2016,32,0.06570841889117043
artificial general intelligence,2017,55,0.11293634496919917
artificial general intelligence,2018,112,0.2299794661190965
artificial general intelligence,2019,121,0.24845995893223818
artificial general intelligence,2020,210,0.43121149897330596
artificial general intelligence,2021,227,0.46611909650924027
artificial general intelligence,2022,258,0.5297741273100616
artificial general intelligence,2023,487,1.0
artificial general intelligence,2024,469,0.9630390143737166
artificial general intelligence,2025,344,0.7063655030800822
