keyword,month,count
artificial general intelligence,2015-01-31,7
,2015-02-28,0
,2015-03-31,0
artificial general intelligence,2015-04-30,1
artificial general intelligence,2015-05-31,1
artificial general intelligence,2015-06-30,4
artificial general intelligence,2015-07-31,2
artificial general intelligence,2015-08-31,1
artificial general intelligence,2015-09-30,1
artificial general intelligence,2015-10-31,2
artificial general intelligence,2015-11-30,5
artificial general intelligence,2015-12-31,3
artificial general intelligence,2016-01-31,15
artificial general intelligence,2016-02-29,1
artificial general intelligence,2016-03-31,3
,2016-04-30,0
artificial general intelligence,2016-05-31,1
,2016-06-30,0
artificial general intelligence,2016-07-31,2
,2016-08-31,0
artificial general intelligence,2016-09-30,1
artificial general intelligence,2016-10-31,3
,2016-11-30,0
artificial general intelligence,2016-12-31,5
artificial general intelligence,2017-01-31,19
artificial general intelligence,2017-02-28,3
artificial general intelligence,2017-03-31,5
artificial general intelligence,2017-04-30,2
artificial general intelligence,2017-05-31,5
artificial general intelligence,2017-06-30,4
artificial general intelligence,2017-07-31,5
,2017-08-31,0
artificial general intelligence,2017-09-30,1
artificial general intelligence,2017-10-31,3
artificial general intelligence,2017-11-30,4
artificial general intelligence,2017-12-31,4
artificial general intelligence,2018-01-31,30
artificial general intelligence,2018-02-28,2
artificial general intelligence,2018-03-31,3
artificial general intelligence,2018-04-30,8
artificial general intelligence,2018-05-31,3
artificial general intelligence,2018-06-30,7
artificial general intelligence,2018-07-31,8
artificial general intelligence,2018-08-31,6
artificial general intelligence,2018-09-30,7
artificial general intelligence,2018-10-31,13
artificial general intelligence,2018-11-30,12
artificial general intelligence,2018-12-31,11
artificial general intelligence,2019-01-31,32
artificial general intelligence,2019-02-28,5
artificial general intelligence,2019-03-31,8
artificial general intelligence,2019-04-30,8
artificial general intelligence,2019-05-31,8
artificial general intelligence,2019-06-30,9
artificial general intelligence,2019-07-31,9
artificial general intelligence,2019-08-31,10
artificial general intelligence,2019-09-30,5
artificial general intelligence,2019-10-31,5
artificial general intelligence,2019-11-30,13
artificial general intelligence,2019-12-31,10
artificial general intelligence,2020-01-31,41
artificial general intelligence,2020-02-29,12
artificial general intelligence,2020-03-31,12
artificial general intelligence,2020-04-30,18
artificial general intelligence,2020-05-31,11
artificial general intelligence,2020-06-30,22
artificial general intelligence,2020-07-31,18
artificial general intelligence,2020-08-31,17
artificial general intelligence,2020-09-30,14
artificial general intelligence,2020-10-31,10
artificial general intelligence,2020-11-30,16
artificial general intelligence,2020-12-31,20
artificial general intelligence,2021-01-31,41
artificial general intelligence,2021-02-28,21
artificial general intelligence,2021-03-31,18
artificial general intelligence,2021-04-30,20
artificial general intelligence,2021-05-31,14
artificial general intelligence,2021-06-30,16
artificial general intelligence,2021-07-31,18
artificial general intelligence,2021-08-31,12
artificial general intelligence,2021-09-30,17
artificial general intelligence,2021-10-31,16
artificial general intelligence,2021-11-30,11
artificial general intelligence,2021-12-31,23
artificial general intelligence,2022-01-31,71
artificial general intelligence,2022-02-28,13
artificial general intelligence,2022-03-31,20
artificial general intelligence,2022-04-30,9
artificial general intelligence,2022-05-31,18
artificial general intelligence,2022-06-30,22
artificial general intelligence,2022-07-31,19
artificial general intelligence,2022-08-31,21
artificial general intelligence,2022-09-30,14
artificial general intelligence,2022-10-31,17
artificial general intelligence,2022-11-30,16
artificial general intelligence,2022-12-31,16
artificial general intelligence,2023-01-31,64
artificial general intelligence,2023-02-28,23
artificial general intelligence,2023-03-31,26
artificial general intelligence,2023-04-30,33
artificial general intelligence,2023-05-31,44
artificial general intelligence,2023-06-30,57
artificial general intelligence,2023-07-31,34
artificial general intelligence,2023-08-31,36
artificial general intelligence,2023-09-30,36
artificial general intelligence,2023-10-31,39
artificial general intelligence,2023-11-30,43
artificial general intelligence,2023-12-31,49
artificial general intelligence,2024-01-31,90
artificial general intelligence,2024-02-29,37
artificial general intelligence,2024-03-31,43
artificial general intelligence,2024-04-30,40
artificial general intelligence,2024-05-31,33
artificial general intelligence,2024-06-30,33
artificial general intelligence,2024-07-31,34
artificial general intelligence,2024-08-31,40
artificial general intelligence,2024-09-30,34
artificial general intelligence,2024-10-31,36
artificial general intelligence,2024-11-30,25
artificial general intelligence,2024-12-31,24
artificial general intelligence,2025-01-31,93
artificial general intelligence,2025-02-28,28
artificial general intelligence,2025-03-31,19
artificial general intelligence,2025-04-30,20
artificial general intelligence,2025-05-31,29
artificial general intelligence,2025-06-30,40
artificial general intelligence,2025-07-31,20
artificial general intelligence,2025-08-31,16
artificial general intelligence,2025-09-30,10
artificial general intelligence,2025-10-31,19
artificial general intelligence,2025-11-30,44
artificial general intelligence,2025-12-31,25
