keyword,publication_year,count,normalized_count
augmented reality,2015,567,0.384928716904277
augmented reality,2016,679,0.4609640190088255
augmented reality,2017,859,0.5831636116768499
augmented reality,2018,1139,0.7732518669382213
augmented reality,2019,1351,0.9171758316361168
augmented reality,2020,1473,1.0
augmented reality,2021,1381,0.9375424304141209
augmented reality,2022,1201,0.8153428377460964
augmented reality,2023,884,0.6001357773251867
augmented reality,2024,402,0.2729124236252546
augmented reality,2025,24,0.016293279022403257
