keyword,month,count
big data,2015-01-31,303
big data,2015-02-28,80
big data,2015-03-31,72
big data,2015-04-30,48
big data,2015-05-31,71
big data,2015-06-30,83
big data,2015-07-31,68
big data,2015-08-31,71
big data,2015-09-30,69
big data,2015-10-31,107
big data,2015-11-30,69
big data,2015-12-31,108
big data,2016-01-31,316
big data,2016-02-29,66
big data,2016-03-31,105
big data,2016-04-30,76
big data,2016-05-31,86
big data,2016-06-30,104
big data,2016-07-31,74
big data,2016-08-31,102
big data,2016-09-30,110
big data,2016-10-31,99
big data,2016-11-30,100
big data,2016-12-31,130
big data,2017-01-31,269
big data,2017-02-28,67
big data,2017-03-31,104
big data,2017-04-30,103
big data,2017-05-31,103
big data,2017-06-30,105
big data,2017-07-31,126
big data,2017-08-31,110
big data,2017-09-30,85
big data,2017-10-31,100
big data,2017-11-30,114
big data,2017-12-31,139
big data,2018-01-31,296
big data,2018-02-28,104
big data,2018-03-31,137
big data,2018-04-30,109
big data,2018-05-31,80
big data,2018-06-30,91
big data,2018-07-31,107
big data,2018-08-31,97
big data,2018-09-30,71
big data,2018-10-31,121
big data,2018-11-30,105
big data,2018-12-31,115
big data,2019-01-31,291
big data,2019-02-28,76
big data,2019-03-31,90
big data,2019-04-30,86
big data,2019-05-31,86
big data,2019-06-30,95
big data,2019-07-31,113
big data,2019-08-31,85
big data,2019-09-30,98
big data,2019-10-31,98
big data,2019-11-30,95
big data,2019-12-31,107
big data,2020-01-31,229
big data,2020-02-29,77
big data,2020-03-31,83
big data,2020-04-30,89
big data,2020-05-31,80
big data,2020-06-30,71
big data,2020-07-31,100
big data,2020-08-31,80
big data,2020-09-30,95
big data,2020-10-31,86
big data,2020-11-30,80
big data,2020-12-31,80
big data,2021-01-31,206
big data,2021-02-28,56
big data,2021-03-31,61
big data,2021-04-30,72
big data,2021-05-31,58
big data,2021-06-30,75
big data,2021-07-31,65
big data,2021-08-31,71
big data,2021-09-30,64
big data,2021-10-31,56
big data,2021-11-30,59
big data,2021-12-31,52
big data,2022-01-31,120
big data,2022-02-28,47
big data,2022-03-31,48
big data,2022-04-30,45
big data,2022-05-31,41
big data,2022-06-30,46
big data,2022-07-31,52
big data,2022-08-31,31
big data,2022-09-30,39
big data,2022-10-31,36
big data,2022-11-30,38
big data,2022-12-31,43
big data,2023-01-31,81
big data,2023-02-28,45
big data,2023-03-31,33
big data,2023-04-30,20
big data,2023-05-31,29
big data,2023-06-30,34
big data,2023-07-31,20
big data,2023-08-31,22
big data,2023-09-30,21
big data,2023-10-31,18
big data,2023-11-30,17
big data,2023-12-31,23
big data,2024-01-31,45
big data,2024-02-29,16
big data,2024-03-31,17
big data,2024-04-30,15
big data,2024-05-31,7
big data,2024-06-30,9
big data,2024-07-31,10
big data,2024-08-31,5
big data,2024-09-30,2
big data,2024-10-31,4
big data,2024-11-30,4
big data,2024-12-31,2
big data,2025-01-31,2
big data,2025-02-28,5
big data,2025-03-31,1
big data,2025-04-30,1
,2025-05-31,0
,2025-06-30,0
,2025-07-31,0
,2025-08-31,0
,2025-09-30,0
,2025-10-31,0
,2025-11-30,0
,2025-12-31,0
