keyword,month,count
blockchain,2015-01-31,22
blockchain,2015-02-28,1
,2015-03-31,0
blockchain,2015-04-30,1
blockchain,2015-05-31,1
blockchain,2015-06-30,1
,2015-07-31,0
blockchain,2015-08-31,1
blockchain,2015-09-30,1
blockchain,2015-10-31,2
,2015-11-30,0
blockchain,2015-12-31,7
blockchain,2016-01-31,59
blockchain,2016-02-29,3
blockchain,2016-03-31,4
blockchain,2016-04-30,4
blockchain,2016-05-31,9
blockchain,2016-06-30,7
blockchain,2016-07-31,4
blockchain,2016-08-31,7
blockchain,2016-09-30,12
blockchain,2016-10-31,19
blockchain,2016-11-30,12
blockchain,2016-12-31,20
blockchain,2017-01-31,163
blockchain,2017-02-28,3
blockchain,2017-03-31,16
blockchain,2017-04-30,26
blockchain,2017-05-31,28
blockchain,2017-06-30,39
blockchain,2017-07-31,30
blockchain,2017-08-31,35
blockchain,2017-09-30,55
blockchain,2017-10-31,59
blockchain,2017-11-30,58
blockchain,2017-12-31,57
blockchain,2018-01-31,285
blockchain,2018-02-28,37
blockchain,2018-03-31,44
blockchain,2018-04-30,63
blockchain,2018-05-31,78
blockchain,2018-06-30,90
blockchain,2018-07-31,118
blockchain,2018-08-31,74
blockchain,2018-09-30,92
blockchain,2018-10-31,91
blockchain,2018-11-30,109
blockchain,2018-12-31,122
blockchain,2019-01-31,430
blockchain,2019-02-28,85
blockchain,2019-03-31,96
blockchain,2019-04-30,109
blockchain,2019-05-31,127
blockchain,2019-06-30,131
blockchain,2019-07-31,173
blockchain,2019-08-31,91
blockchain,2019-09-30,110
blockchain,2019-10-31,127
blockchain,2019-11-30,111
blockchain,2019-12-31,142
blockchain,2020-01-31,467
blockchain,2020-02-29,121
blockchain,2020-03-31,130
blockchain,2020-04-30,119
blockchain,2020-05-31,135
blockchain,2020-06-30,166
blockchain,2020-07-31,146
blockchain,2020-08-31,106
blockchain,2020-09-30,148
blockchain,2020-10-31,156
blockchain,2020-11-30,155
blockchain,2020-12-31,148
blockchain,2021-01-31,407
blockchain,2021-02-28,160
blockchain,2021-03-31,164
blockchain,2021-04-30,126
blockchain,2021-05-31,138
blockchain,2021-06-30,127
blockchain,2021-07-31,136
blockchain,2021-08-31,139
blockchain,2021-09-30,125
blockchain,2021-10-31,113
blockchain,2021-11-30,102
blockchain,2021-12-31,111
blockchain,2022-01-31,337
blockchain,2022-02-28,114
blockchain,2022-03-31,107
blockchain,2022-04-30,92
blockchain,2022-05-31,99
blockchain,2022-06-30,121
blockchain,2022-07-31,93
blockchain,2022-08-31,98
blockchain,2022-09-30,99
blockchain,2022-10-31,90
blockchain,2022-11-30,99
blockchain,2022-12-31,86
blockchain,2023-01-31,209
blockchain,2023-02-28,75
blockchain,2023-03-31,85
blockchain,2023-04-30,66
blockchain,2023-05-31,55
blockchain,2023-06-30,57
blockchain,2023-07-31,45
blockchain,2023-08-31,38
blockchain,2023-09-30,50
blockchain,2023-10-31,34
blockchain,2023-11-30,29
blockchain,2023-12-31,44
blockchain,2024-01-31,73
blockchain,2024-02-29,44
blockchain,2024-03-31,30
blockchain,2024-04-30,22
blockchain,2024-05-31,16
blockchain,2024-06-30,6
blockchain,2024-07-31,14
blockchain,2024-08-31,8
blockchain,2024-09-30,9
blockchain,2024-10-31,4
blockchain,2024-11-30,3
,2024-12-31,0
blockchain,2025-01-31,1
,2025-02-28,0
blockchain,2025-03-31,1
,2025-04-30,0
,2025-05-31,0
,2025-06-30,0
,2025-07-31,0
,2025-08-31,0
,2025-09-30,0
,2025-10-31,0
,2025-11-30,0
,2025-12-31,0
