keyword,month,count
chatbot,2015-01-31,6
,2015-02-28,0
chatbot,2015-03-31,2
,2015-04-30,0
,2015-05-31,0
,2015-06-30,0
chatbot,2015-07-31,1
,2015-08-31,0
chatbot,2015-09-30,1
chatbot,2015-10-31,3
chatbot,2015-11-30,2
chatbot,2015-12-31,3
chatbot,2016-01-31,16
,2016-02-29,0
chatbot,2016-03-31,1
chatbot,2016-04-30,1
chatbot,2016-05-31,2
chatbot,2016-06-30,4
chatbot,2016-07-31,4
chatbot,2016-08-31,2
chatbot,2016-09-30,5
chatbot,2016-10-31,2
chatbot,2016-11-30,4
chatbot,2016-12-31,5
chatbot,2017-01-31,61
chatbot,2017-02-28,5
chatbot,2017-03-31,4
chatbot,2017-04-30,6
chatbot,2017-05-31,9
chatbot,2017-06-30,11
chatbot,2017-07-31,11
chatbot,2017-08-31,10
chatbot,2017-09-30,14
chatbot,2017-10-31,10
chatbot,2017-11-30,10
chatbot,2017-12-31,16
chatbot,2018-01-31,143
chatbot,2018-02-28,10
chatbot,2018-03-31,16
chatbot,2018-04-30,30
chatbot,2018-05-31,19
chatbot,2018-06-30,23
chatbot,2018-07-31,25
chatbot,2018-08-31,28
chatbot,2018-09-30,22
chatbot,2018-10-31,29
chatbot,2018-11-30,29
chatbot,2018-12-31,35
chatbot,2019-01-31,222
chatbot,2019-02-28,16
chatbot,2019-03-31,29
chatbot,2019-04-30,37
chatbot,2019-05-31,43
chatbot,2019-06-30,40
chatbot,2019-07-31,50
chatbot,2019-08-31,41
chatbot,2019-09-30,44
chatbot,2019-10-31,38
chatbot,2019-11-30,66
chatbot,2019-12-31,50
chatbot,2020-01-31,254
chatbot,2020-02-29,39
chatbot,2020-03-31,46
chatbot,2020-04-30,61
chatbot,2020-05-31,37
chatbot,2020-06-30,72
chatbot,2020-07-31,72
chatbot,2020-08-31,39
chatbot,2020-09-30,68
chatbot,2020-10-31,60
chatbot,2020-11-30,60
chatbot,2020-12-31,79
chatbot,2021-01-31,292
chatbot,2021-02-28,34
chatbot,2021-03-31,55
chatbot,2021-04-30,61
chatbot,2021-05-31,67
chatbot,2021-06-30,69
chatbot,2021-07-31,74
chatbot,2021-08-31,61
chatbot,2021-09-30,69
chatbot,2021-10-31,88
chatbot,2021-11-30,56
chatbot,2021-12-31,86
chatbot,2022-01-31,277
chatbot,2022-02-28,41
chatbot,2022-03-31,57
chatbot,2022-04-30,79
chatbot,2022-05-31,75
chatbot,2022-06-30,86
chatbot,2022-07-31,79
chatbot,2022-08-31,69
chatbot,2022-09-30,83
chatbot,2022-10-31,93
chatbot,2022-11-30,95
chatbot,2022-12-31,111
chatbot,2023-01-31,360
chatbot,2023-02-28,105
chatbot,2023-03-31,119
chatbot,2023-04-30,150
chatbot,2023-05-31,172
chatbot,2023-06-30,177
chatbot,2023-07-31,183
chatbot,2023-08-31,145
chatbot,2023-09-30,187
chatbot,2023-10-31,158
chatbot,2023-11-30,149
chatbot,2023-12-31,192
chatbot,2024-01-31,482
chatbot,2024-02-29,138
chatbot,2024-03-31,212
chatbot,2024-04-30,192
chatbot,2024-05-31,204
chatbot,2024-06-30,196
chatbot,2024-07-31,201
chatbot,2024-08-31,161
chatbot,2024-09-30,139
chatbot,2024-10-31,186
chatbot,2024-11-30,168
chatbot,2024-12-31,188
chatbot,2025-01-31,217
chatbot,2025-02-28,115
chatbot,2025-03-31,130
chatbot,2025-04-30,123
chatbot,2025-05-31,100
chatbot,2025-06-30,98
chatbot,2025-07-31,57
chatbot,2025-08-31,44
chatbot,2025-09-30,22
chatbot,2025-10-31,20
chatbot,2025-11-30,3
,2025-12-31,0
