keyword,month,count
cryptocurrency,2015-01-31,48
cryptocurrency,2015-02-28,3
cryptocurrency,2015-03-31,4
cryptocurrency,2015-04-30,1
cryptocurrency,2015-05-31,5
cryptocurrency,2015-06-30,5
cryptocurrency,2015-07-31,1
cryptocurrency,2015-08-31,1
cryptocurrency,2015-09-30,5
cryptocurrency,2015-10-31,6
cryptocurrency,2015-11-30,2
cryptocurrency,2015-12-31,11
cryptocurrency,2016-01-31,54
cryptocurrency,2016-02-29,4
cryptocurrency,2016-03-31,7
,2016-04-30,0
cryptocurrency,2016-05-31,8
cryptocurrency,2016-06-30,2
cryptocurrency,2016-07-31,6
cryptocurrency,2016-08-31,5
cryptocurrency,2016-09-30,5
cryptocurrency,2016-10-31,13
cryptocurrency,2016-11-30,5
cryptocurrency,2016-12-31,14
cryptocurrency,2017-01-31,103
cryptocurrency,2017-02-28,2
cryptocurrency,2017-03-31,8
cryptocurrency,2017-04-30,13
cryptocurrency,2017-05-31,13
cryptocurrency,2017-06-30,16
cryptocurrency,2017-07-31,14
cryptocurrency,2017-08-31,14
cryptocurrency,2017-09-30,17
cryptocurrency,2017-10-31,16
cryptocurrency,2017-11-30,20
cryptocurrency,2017-12-31,34
cryptocurrency,2018-01-31,346
cryptocurrency,2018-02-28,30
cryptocurrency,2018-03-31,22
cryptocurrency,2018-04-30,27
cryptocurrency,2018-05-31,62
cryptocurrency,2018-06-30,66
cryptocurrency,2018-07-31,59
cryptocurrency,2018-08-31,45
cryptocurrency,2018-09-30,52
cryptocurrency,2018-10-31,58
cryptocurrency,2018-11-30,53
cryptocurrency,2018-12-31,62
cryptocurrency,2019-01-31,415
cryptocurrency,2019-02-28,49
cryptocurrency,2019-03-31,71
cryptocurrency,2019-04-30,94
cryptocurrency,2019-05-31,76
cryptocurrency,2019-06-30,84
cryptocurrency,2019-07-31,83
cryptocurrency,2019-08-31,69
cryptocurrency,2019-09-30,69
cryptocurrency,2019-10-31,80
cryptocurrency,2019-11-30,72
cryptocurrency,2019-12-31,81
cryptocurrency,2020-01-31,401
cryptocurrency,2020-02-29,46
cryptocurrency,2020-03-31,67
cryptocurrency,2020-04-30,67
cryptocurrency,2020-05-31,74
cryptocurrency,2020-06-30,82
cryptocurrency,2020-07-31,74
cryptocurrency,2020-08-31,73
cryptocurrency,2020-09-30,79
cryptocurrency,2020-10-31,72
cryptocurrency,2020-11-30,74
cryptocurrency,2020-12-31,99
cryptocurrency,2021-01-31,341
cryptocurrency,2021-02-28,67
cryptocurrency,2021-03-31,72
cryptocurrency,2021-04-30,59
cryptocurrency,2021-05-31,63
cryptocurrency,2021-06-30,76
cryptocurrency,2021-07-31,84
cryptocurrency,2021-08-31,63
cryptocurrency,2021-09-30,106
cryptocurrency,2021-10-31,81
cryptocurrency,2021-11-30,79
cryptocurrency,2021-12-31,115
cryptocurrency,2022-01-31,363
cryptocurrency,2022-02-28,90
cryptocurrency,2022-03-31,98
cryptocurrency,2022-04-30,68
cryptocurrency,2022-05-31,105
cryptocurrency,2022-06-30,92
cryptocurrency,2022-07-31,107
cryptocurrency,2022-08-31,90
cryptocurrency,2022-09-30,95
cryptocurrency,2022-10-31,95
cryptocurrency,2022-11-30,101
cryptocurrency,2022-12-31,128
cryptocurrency,2023-01-31,418
cryptocurrency,2023-02-28,88
cryptocurrency,2023-03-31,106
cryptocurrency,2023-04-30,97
cryptocurrency,2023-05-31,122
cryptocurrency,2023-06-30,105
cryptocurrency,2023-07-31,110
cryptocurrency,2023-08-31,87
cryptocurrency,2023-09-30,109
cryptocurrency,2023-10-31,93
cryptocurrency,2023-11-30,83
cryptocurrency,2023-12-31,133
cryptocurrency,2024-01-31,256
cryptocurrency,2024-02-29,72
cryptocurrency,2024-03-31,103
cryptocurrency,2024-04-30,83
cryptocurrency,2024-05-31,88
cryptocurrency,2024-06-30,74
cryptocurrency,2024-07-31,66
cryptocurrency,2024-08-31,80
cryptocurrency,2024-09-30,65
cryptocurrency,2024-10-31,65
cryptocurrency,2024-11-30,58
cryptocurrency,2024-12-31,66
cryptocurrency,2025-01-31,115
cryptocurrency,2025-02-28,49
cryptocurrency,2025-03-31,50
cryptocurrency,2025-04-30,56
cryptocurrency,2025-05-31,27
cryptocurrency,2025-06-30,34
cryptocurrency,2025-07-31,27
cryptocurrency,2025-08-31,12
cryptocurrency,2025-09-30,5
cryptocurrency,2025-10-31,3
cryptocurrency,2025-11-30,2
,2025-12-31,0
