keyword,month,count
edge computing,2015-01-31,2
edge computing,2015-02-28,1
,2015-03-31,0
edge computing,2015-04-30,1
,2015-05-31,0
edge computing,2015-06-30,1
,2015-07-31,0
edge computing,2015-08-31,1
edge computing,2015-09-30,1
edge computing,2015-10-31,2
edge computing,2015-11-30,1
edge computing,2015-12-31,2
edge computing,2016-01-31,16
edge computing,2016-02-29,1
edge computing,2016-03-31,2
edge computing,2016-04-30,3
edge computing,2016-05-31,8
edge computing,2016-06-30,5
edge computing,2016-07-31,4
edge computing,2016-08-31,4
edge computing,2016-09-30,15
edge computing,2016-10-31,17
edge computing,2016-11-30,5
edge computing,2016-12-31,12
edge computing,2017-01-31,48
edge computing,2017-02-28,5
edge computing,2017-03-31,14
edge computing,2017-04-30,8
edge computing,2017-05-31,35
edge computing,2017-06-30,41
edge computing,2017-07-31,17
edge computing,2017-08-31,18
edge computing,2017-09-30,21
edge computing,2017-10-31,44
edge computing,2017-11-30,39
edge computing,2017-12-31,55
edge computing,2018-01-31,141
edge computing,2018-02-28,17
edge computing,2018-03-31,26
edge computing,2018-04-30,48
edge computing,2018-05-31,68
edge computing,2018-06-30,55
edge computing,2018-07-31,51
edge computing,2018-08-31,60
edge computing,2018-09-30,50
edge computing,2018-10-31,113
edge computing,2018-11-30,60
edge computing,2018-12-31,100
edge computing,2019-01-31,256
edge computing,2019-02-28,61
edge computing,2019-03-31,65
edge computing,2019-04-30,98
edge computing,2019-05-31,102
edge computing,2019-06-30,96
edge computing,2019-07-31,120
edge computing,2019-08-31,94
edge computing,2019-09-30,77
edge computing,2019-10-31,102
edge computing,2019-11-30,80
edge computing,2019-12-31,168
edge computing,2020-01-31,350
edge computing,2020-02-29,62
edge computing,2020-03-31,88
edge computing,2020-04-30,84
edge computing,2020-05-31,91
edge computing,2020-06-30,146
edge computing,2020-07-31,125
edge computing,2020-08-31,91
edge computing,2020-09-30,113
edge computing,2020-10-31,153
edge computing,2020-11-30,103
edge computing,2020-12-31,158
edge computing,2021-01-31,319
edge computing,2021-02-28,96
edge computing,2021-03-31,119
edge computing,2021-04-30,123
edge computing,2021-05-31,104
edge computing,2021-06-30,152
edge computing,2021-07-31,119
edge computing,2021-08-31,102
edge computing,2021-09-30,130
edge computing,2021-10-31,143
edge computing,2021-11-30,141
edge computing,2021-12-31,142
edge computing,2022-01-31,303
edge computing,2022-02-28,88
edge computing,2022-03-31,112
edge computing,2022-04-30,111
edge computing,2022-05-31,184
edge computing,2022-06-30,118
edge computing,2022-07-31,145
edge computing,2022-08-31,106
edge computing,2022-09-30,102
edge computing,2022-10-31,86
edge computing,2022-11-30,127
edge computing,2022-12-31,156
edge computing,2023-01-31,236
edge computing,2023-02-28,73
edge computing,2023-03-31,110
edge computing,2023-04-30,89
edge computing,2023-05-31,111
edge computing,2023-06-30,119
edge computing,2023-07-31,107
edge computing,2023-08-31,78
edge computing,2023-09-30,101
edge computing,2023-10-31,92
edge computing,2023-11-30,101
edge computing,2023-12-31,123
edge computing,2024-01-31,175
edge computing,2024-02-29,85
edge computing,2024-03-31,86
edge computing,2024-04-30,75
edge computing,2024-05-31,78
edge computing,2024-06-30,67
edge computing,2024-07-31,59
edge computing,2024-08-31,64
edge computing,2024-09-30,50
edge computing,2024-10-31,44
edge computing,2024-11-30,34
edge computing,2024-12-31,39
edge computing,2025-01-31,46
edge computing,2025-02-28,23
edge computing,2025-03-31,13
edge computing,2025-04-30,12
edge computing,2025-05-31,10
edge computing,2025-06-30,5
edge computing,2025-07-31,5
edge computing,2025-08-31,1
edge computing,2025-09-30,2
,2025-10-31,0
,2025-11-30,0
,2025-12-31,0
