keyword,month,count
,2015-01-31,0
,2015-02-28,0
,2015-03-31,0
,2015-04-30,0
,2015-05-31,0
,2015-06-30,0
,2015-07-31,0
,2015-08-31,0
,2015-09-30,0
,2015-10-31,0
,2015-11-30,0
,2015-12-31,0
,2016-01-31,0
,2016-02-29,0
,2016-03-31,0
,2016-04-30,0
,2016-05-31,0
,2016-06-30,0
,2016-07-31,0
,2016-08-31,0
,2016-09-30,0
,2016-10-31,0
,2016-11-30,0
,2016-12-31,0
,2017-01-31,0
,2017-02-28,0
generative ai,2017-03-31,1
,2017-04-30,0
,2017-05-31,0
,2017-06-30,0
,2017-07-31,0
generative ai,2017-08-31,1
,2017-09-30,0
,2017-10-31,0
,2017-11-30,0
generative ai,2017-12-31,1
,2018-01-31,0
,2018-02-28,0
generative ai,2018-03-31,1
,2018-04-30,0
,2018-05-31,0
,2018-06-30,0
,2018-07-31,0
,2018-08-31,0
,2018-09-30,0
,2018-10-31,0
generative ai,2018-11-30,1
generative ai,2018-12-31,1
,2019-01-31,0
,2019-02-28,0
,2019-03-31,0
generative ai,2019-04-30,1
generative ai,2019-05-31,1
generative ai,2019-06-30,1
generative ai,2019-07-31,2
generative ai,2019-08-31,1
,2019-09-30,0
,2019-10-31,0
,2019-11-30,0
,2019-12-31,0
generative ai,2020-01-31,5
generative ai,2020-02-29,1
generative ai,2020-03-31,3
generative ai,2020-04-30,2
,2020-05-31,0
,2020-06-30,0
generative ai,2020-07-31,1
,2020-08-31,0
,2020-09-30,0
,2020-10-31,0
generative ai,2020-11-30,1
generative ai,2020-12-31,3
generative ai,2021-01-31,10
,2021-02-28,0
,2021-03-31,0
generative ai,2021-04-30,2
generative ai,2021-05-31,4
,2021-06-30,0
,2021-07-31,0
,2021-08-31,0
generative ai,2021-09-30,1
,2021-10-31,0
generative ai,2021-11-30,1
generative ai,2021-12-31,4
generative ai,2022-01-31,10
generative ai,2022-02-28,1
generative ai,2022-03-31,7
generative ai,2022-04-30,3
generative ai,2022-05-31,1
generative ai,2022-06-30,4
generative ai,2022-07-31,3
generative ai,2022-08-31,1
generative ai,2022-09-30,5
generative ai,2022-10-31,4
generative ai,2022-11-30,4
generative ai,2022-12-31,5
generative ai,2023-01-31,306
generative ai,2023-02-28,32
generative ai,2023-03-31,51
generative ai,2023-04-30,68
generative ai,2023-05-31,93
generative ai,2023-06-30,121
generative ai,2023-07-31,149
generative ai,2023-08-31,140
generative ai,2023-09-30,163
generative ai,2023-10-31,208
generative ai,2023-11-30,204
generative ai,2023-12-31,277
generative ai,2024-01-31,888
generative ai,2024-02-29,210
generative ai,2024-03-31,311
generative ai,2024-04-30,296
generative ai,2024-05-31,405
generative ai,2024-06-30,373
generative ai,2024-07-31,325
generative ai,2024-08-31,318
generative ai,2024-09-30,356
generative ai,2024-10-31,393
generative ai,2024-11-30,351
generative ai,2024-12-31,403
generative ai,2025-01-31,734
generative ai,2025-02-28,282
generative ai,2025-03-31,272
generative ai,2025-04-30,333
generative ai,2025-05-31,286
generative ai,2025-06-30,245
generative ai,2025-07-31,204
generative ai,2025-08-31,141
generative ai,2025-09-30,115
generative ai,2025-10-31,96
generative ai,2025-11-30,125
generative ai,2025-12-31,22
