keyword,publication_year,count,normalized_count
metaverse,2010,34,0.009889470622454915
metaverse,2011,23,0.006689936009307737
metaverse,2012,22,0.006399069226294357
metaverse,2013,21,0.006108202443280977
metaverse,2014,19,0.005526468877254218
metaverse,2015,8,0.002326934264107039
metaverse,2016,11,0.0031995346131471784
metaverse,2017,9,0.002617801047120419
metaverse,2018,9,0.002617801047120419
metaverse,2019,9,0.002617801047120419
metaverse,2020,18,0.005235602094240838
metaverse,2021,181,0.052646887725421754
metaverse,2022,1970,0.5730075625363583
metaverse,2023,3438,1.0
metaverse,2024,2866,0.8336242001163467
metaverse,2025,1225,0.3563118091913903
