keyword,month,count
metaverse,2015-01-31,3
,2015-02-28,0
,2015-03-31,0
,2015-04-30,0
,2015-05-31,0
,2015-06-30,0
metaverse,2015-07-31,1
metaverse,2015-08-31,1
,2015-09-30,0
metaverse,2015-10-31,1
metaverse,2015-11-30,1
metaverse,2015-12-31,1
metaverse,2016-01-31,4
,2016-02-29,0
,2016-03-31,0
metaverse,2016-04-30,1
metaverse,2016-05-31,2
metaverse,2016-06-30,1
,2016-07-31,0
,2016-08-31,0
metaverse,2016-09-30,2
,2016-10-31,0
metaverse,2016-11-30,1
,2016-12-31,0
metaverse,2017-01-31,3
,2017-02-28,0
metaverse,2017-03-31,1
,2017-04-30,0
metaverse,2017-05-31,1
,2017-06-30,0
,2017-07-31,0
,2017-08-31,0
metaverse,2017-09-30,2
,2017-10-31,0
metaverse,2017-11-30,1
metaverse,2017-12-31,1
metaverse,2018-01-31,3
metaverse,2018-02-28,3
,2018-03-31,0
,2018-04-30,0
,2018-05-31,0
metaverse,2018-06-30,1
,2018-07-31,0
,2018-08-31,0
metaverse,2018-09-30,1
,2018-10-31,0
metaverse,2018-11-30,1
,2018-12-31,0
metaverse,2019-01-31,3
,2019-02-28,0
,2019-03-31,0
,2019-04-30,0
,2019-05-31,0
metaverse,2019-06-30,2
metaverse,2019-07-31,2
,2019-08-31,0
metaverse,2019-09-30,2
,2019-10-31,0
,2019-11-30,0
,2019-12-31,0
metaverse,2020-01-31,7
,2020-02-29,0
metaverse,2020-03-31,1
metaverse,2020-04-30,2
,2020-05-31,0
metaverse,2020-06-30,1
,2020-07-31,0
metaverse,2020-08-31,1
metaverse,2020-09-30,3
metaverse,2020-10-31,3
metaverse,2020-11-30,1
metaverse,2020-12-31,1
metaverse,2021-01-31,33
metaverse,2021-02-28,2
metaverse,2021-03-31,2
metaverse,2021-04-30,3
metaverse,2021-05-31,2
metaverse,2021-06-30,5
metaverse,2021-07-31,3
metaverse,2021-08-31,13
metaverse,2021-09-30,21
metaverse,2021-10-31,11
metaverse,2021-11-30,27
metaverse,2021-12-31,60
metaverse,2022-01-31,346
metaverse,2022-02-28,47
metaverse,2022-03-31,94
metaverse,2022-04-30,95
metaverse,2022-05-31,95
metaverse,2022-06-30,143
metaverse,2022-07-31,118
metaverse,2022-08-31,160
metaverse,2022-09-30,158
metaverse,2022-10-31,181
metaverse,2022-11-30,206
metaverse,2022-12-31,337
metaverse,2023-01-31,833
metaverse,2023-02-28,169
metaverse,2023-03-31,228
metaverse,2023-04-30,177
metaverse,2023-05-31,231
metaverse,2023-06-30,327
metaverse,2023-07-31,206
metaverse,2023-08-31,198
metaverse,2023-09-30,283
metaverse,2023-10-31,263
metaverse,2023-11-30,252
metaverse,2023-12-31,292
metaverse,2024-01-31,678
metaverse,2024-02-29,181
metaverse,2024-03-31,230
metaverse,2024-04-30,203
metaverse,2024-05-31,204
metaverse,2024-06-30,263
metaverse,2024-07-31,212
metaverse,2024-08-31,214
metaverse,2024-09-30,145
metaverse,2024-10-31,165
metaverse,2024-11-30,178
metaverse,2024-12-31,223
metaverse,2025-01-31,346
metaverse,2025-02-28,113
metaverse,2025-03-31,140
metaverse,2025-04-30,134
metaverse,2025-05-31,97
metaverse,2025-06-30,81
metaverse,2025-07-31,90
metaverse,2025-08-31,73
metaverse,2025-09-30,62
metaverse,2025-10-31,53
metaverse,2025-11-30,80
metaverse,2025-12-31,16
