keyword,publication_year,count,normalized_count
quantum computing,2015,227,0.1612215909090909
quantum computing,2016,273,0.19389204545454544
quantum computing,2017,300,0.21306818181818182
quantum computing,2018,446,0.31676136363636365
quantum computing,2019,579,0.4112215909090909
quantum computing,2020,780,0.5539772727272727
quantum computing,2021,1003,0.7123579545454546
quantum computing,2022,1121,0.7961647727272727
quantum computing,2023,1408,1.0
quantum computing,2024,1290,0.9161931818181818
quantum computing,2025,625,0.44389204545454547
