keyword,month,count
quantum computing,2015-01-31,54
quantum computing,2015-02-28,20
quantum computing,2015-03-31,18
quantum computing,2015-04-30,10
quantum computing,2015-05-31,12
quantum computing,2015-06-30,13
quantum computing,2015-07-31,18
quantum computing,2015-08-31,22
quantum computing,2015-09-30,18
quantum computing,2015-10-31,15
quantum computing,2015-11-30,12
quantum computing,2015-12-31,15
quantum computing,2016-01-31,46
quantum computing,2016-02-29,13
quantum computing,2016-03-31,20
quantum computing,2016-04-30,10
quantum computing,2016-05-31,20
quantum computing,2016-06-30,16
quantum computing,2016-07-31,27
quantum computing,2016-08-31,22
quantum computing,2016-09-30,19
quantum computing,2016-10-31,27
quantum computing,2016-11-30,25
quantum computing,2016-12-31,28
quantum computing,2017-01-31,56
quantum computing,2017-02-28,19
quantum computing,2017-03-31,26
quantum computing,2017-04-30,10
quantum computing,2017-05-31,24
quantum computing,2017-06-30,25
quantum computing,2017-07-31,16
quantum computing,2017-08-31,22
quantum computing,2017-09-30,25
quantum computing,2017-10-31,28
quantum computing,2017-11-30,28
quantum computing,2017-12-31,21
quantum computing,2018-01-31,74
quantum computing,2018-02-28,28
quantum computing,2018-03-31,37
quantum computing,2018-04-30,23
quantum computing,2018-05-31,41
quantum computing,2018-06-30,31
quantum computing,2018-07-31,30
quantum computing,2018-08-31,30
quantum computing,2018-09-30,36
quantum computing,2018-10-31,38
quantum computing,2018-11-30,36
quantum computing,2018-12-31,42
quantum computing,2019-01-31,93
quantum computing,2019-02-28,46
quantum computing,2019-03-31,43
quantum computing,2019-04-30,44
quantum computing,2019-05-31,37
quantum computing,2019-06-30,46
quantum computing,2019-07-31,50
quantum computing,2019-08-31,45
quantum computing,2019-09-30,38
quantum computing,2019-10-31,48
quantum computing,2019-11-30,35
quantum computing,2019-12-31,54
quantum computing,2020-01-31,143
quantum computing,2020-02-29,47
quantum computing,2020-03-31,60
quantum computing,2020-04-30,51
quantum computing,2020-05-31,60
quantum computing,2020-06-30,51
quantum computing,2020-07-31,57
quantum computing,2020-08-31,44
quantum computing,2020-09-30,55
quantum computing,2020-10-31,73
quantum computing,2020-11-30,67
quantum computing,2020-12-31,72
quantum computing,2021-01-31,198
quantum computing,2021-02-28,67
quantum computing,2021-03-31,74
quantum computing,2021-04-30,66
quantum computing,2021-05-31,58
quantum computing,2021-06-30,74
quantum computing,2021-07-31,82
quantum computing,2021-08-31,58
quantum computing,2021-09-30,84
quantum computing,2021-10-31,68
quantum computing,2021-11-30,75
quantum computing,2021-12-31,99
quantum computing,2022-01-31,205
quantum computing,2022-02-28,83
quantum computing,2022-03-31,73
quantum computing,2022-04-30,75
quantum computing,2022-05-31,71
quantum computing,2022-06-30,88
quantum computing,2022-07-31,82
quantum computing,2022-08-31,83
quantum computing,2022-09-30,102
quantum computing,2022-10-31,95
quantum computing,2022-11-30,77
quantum computing,2022-12-31,87
quantum computing,2023-01-31,212
quantum computing,2023-02-28,84
quantum computing,2023-03-31,111
quantum computing,2023-04-30,91
quantum computing,2023-05-31,135
quantum computing,2023-06-30,99
quantum computing,2023-07-31,140
quantum computing,2023-08-31,77
quantum computing,2023-09-30,125
quantum computing,2023-10-31,104
quantum computing,2023-11-30,115
quantum computing,2023-12-31,115
quantum computing,2024-01-31,271
quantum computing,2024-02-29,79
quantum computing,2024-03-31,107
quantum computing,2024-04-30,94
quantum computing,2024-05-31,89
quantum computing,2024-06-30,134
quantum computing,2024-07-31,103
quantum computing,2024-08-31,82
quantum computing,2024-09-30,97
quantum computing,2024-10-31,85
quantum computing,2024-11-30,56
quantum computing,2024-12-31,93
quantum computing,2025-01-31,170
quantum computing,2025-02-28,54
quantum computing,2025-03-31,75
quantum computing,2025-04-30,48
quantum computing,2025-05-31,50
quantum computing,2025-06-30,50
quantum computing,2025-07-31,31
quantum computing,2025-08-31,26
quantum computing,2025-09-30,26
quantum computing,2025-10-31,31
quantum computing,2025-11-30,47
quantum computing,2025-12-31,17
