date,big data,quantum computing,artificial general intelligence,cryptocurrency,blockchain,metaverse,edge computing,generative ai,chatbot,augmented reality
2015-01,10,0,0,0,1,0.0,0.0,0.0,0.4967602591792657,1.490280777537797
2015-02,11,0,0,0,1,0.0,0.0,0.0,0.4967602591792657,1.9870410367170628
2015-03,11,0,0,0,1,0.0,0.0,0.0,0.4967602591792657,1.9870410367170628
2015-04,11,0,0,0,1,0.0,0.0,0.0,0.4967602591792657,1.9870410367170628
2015-05,10,1,0,0,1,0.0,0.0,0.0,0.4967602591792657,1.9870410367170628
2015-06,10,0,0,0,1,0.0,0.0,0.0,0.4967602591792657,1.490280777537797
2015-07,9,0,0,0,2,0.0,0.0,0.0,0.4967602591792657,1.490280777537797
2015-08,9,0,0,0,2,0.0,0.0,0.0,0.4967602591792657,1.490280777537797
2015-09,10,1,0,0,2,0.0,0.0,0.0,0.4967602591792657,1.9870410367170628
2015-10,10,1,0,0,3,0.0,0.0,0.0,0.4967602591792657,1.9870410367170628
2015-11,10,1,0,0,3,0.0,0.0,0.0,0.4967602591792657,1.9870410367170628
2015-12,9,1,0,0,3,0.0,0.0,0.0,0.4967602591792657,1.490280777537797
2016-01,9,0,0,0,3,0.0,0.0,0.0,0.4967602591792657,1.490280777537797
2016-02,11,0,0,0,4,0.0,0.0,0.0,0.4967602591792657,1.9870410367170628
2016-03,11,0,0,1,4,0.0,0.0,0.0,0.9935205183585314,2.4838012958963285
2016-04,10,1,0,1,5,0.0,0.0,0.0,0.9935205183585314,1.9870410367170628
2016-05,10,1,0,1,5,0.0,0.0,0.0,0.9935205183585314,1.9870410367170628
2016-06,10,0,0,1,6,0.0,0.0,0.0,0.9935205183585314,1.9870410367170628
2016-07,9,0,0,1,5,0.0,0.0,0.0,0.9935205183585314,4.470842332613391
2016-08,9,0,0,1,5,0.0,0.0,0.0,0.9935205183585314,2.4838012958963285
2016-09,11,1,0,1,6,0.0,0.0,0.0,0.9935205183585314,2.4838012958963285
2016-10,11,0,0,1,7,0.0,0.0,0.0,1.490280777537797,2.4838012958963285
2016-11,11,0,0,1,8,0.0,0.0,0.0,1.490280777537797,2.4838012958963285
2016-12,10,0,0,1,7,0.0,0.0,0.0,1.490280777537797,2.4838012958963285
2017-01,10,0,0,1,8,0.0,0.0,0.0,1.490280777537797,2.4838012958963285
2017-02,12,1,0,1,9,0.0,0.0,0.0,1.9870410367170628,2.980561555075594
2017-03,12,1,0,2,10,0.0,0.0,0.0,2.4838012958963285,2.980561555075594
2017-04,11,1,0,3,10,0.0,0.0,0.0,1.9870410367170628,2.980561555075594
