id,keyword,text,publication_year
https://openalex.org/W2593851678,big data,Big Data and Predictive Analysis is Key to Superior Supply Chain Performance,2017
https://openalex.org/W4400760979,big data,"Generative artificial intelligence of things systems, multisensory immersive extended reality technologies, and algorithmic big data simulation and modelling tools in digital twin industrial metaverse",2024
https://openalex.org/W2131307433,big data,Big-data applications in the government sector,2014
https://openalex.org/W2368756141,big data,Research on Development Strategy for Smart Grid Big Data,2015
https://openalex.org/W2762459990,big data,"Big Data: Issues, Challenges, and Techniques in Business Intelligence",2017
https://openalex.org/W4213366078,big data,Current approaches for executing big data science projects—a systematic literature review,2022
https://openalex.org/W2244573010,big data,Survey on Big Data Analytics in Public Sector of Russian Federation,2015
https://openalex.org/W2913219845,big data,Carbon price forecasting models based on big data analytics,2019
https://openalex.org/W3003354268,big data,Comparative Study of Big Data Frameworks,2019
https://openalex.org/W2969890124,big data,Putting the data before the algorithm in big data addressing personalized healthcare,2019
https://openalex.org/W3136594987,quantum computing,"Symbiosis of Semiconductors, AI and Quantum Computing",2020
https://openalex.org/W3114278413,quantum computing,Quantum Optical Convolutional Neural Network: A Novel Image Recognition Framework for Quantum Computing,2021
https://openalex.org/W4393473137,quantum computing,"Application-Motivated, Holistic Benchmarking of a Full Quantum Computing Stack: Experimental Data",2020
https://openalex.org/W3217298110,quantum computing,EntangleVR: A Visual Programming Interface for Virtual Reality Interactive Scene Generation,2021
https://openalex.org/W2896469455,quantum computing,Deep-Cryogenic Voltage References in 40-nm CMOS,2018
https://openalex.org/W2199783596,quantum computing,Time independent universal computing with spin chains: quantum plinko machine,2016
https://openalex.org/W4293282437,quantum computing,A Blockchain Consensus Protocol Based on Quantum Attack Algorithm,2022
https://openalex.org/W4399893849,quantum computing,Machine Learning and Optimization in Energy Management Systems for Plug-In Hybrid Electric Vehicles: A Comprehensive Review,2024
https://openalex.org/W4403127023,quantum computing,Machine Learning Approach for Parkinson's disease Prediction through Quantum Computing Techniques,2024
https://openalex.org/W2899645649,quantum computing,Impact of qubit connectivity on quantum algorithm performance,2020
https://openalex.org/W2604421404,artificial general intelligence,A Novel Artificial Bee Colony Optimizer with Dynamic Population Size for Multi-level Threshold Image Segmentation,2016
https://openalex.org/W3082637199,artificial general intelligence,Fearing the Robot Apocalypse: Correlates of AI Anxiety,2020
https://openalex.org/W3199145864,artificial general intelligence,Long-term cost-effectiveness of interventions for loss of electricity/industry compared to artificial general intelligence safety,2021
https://openalex.org/W4399986486,artificial general intelligence,Synthetic Data and Its Utility in Pathology and Laboratory Medicine,2024
https://openalex.org/W2949952898,artificial general intelligence,Artificial General Intelligence,2016
https://openalex.org/W4280505652,artificial general intelligence,"Unknown Future, Repeated Present: A Narrative-Centered Analysis of Long-Term AI Discourse",2022
https://openalex.org/W4385558068,artificial general intelligence,How to Create Business Value Through Technological Innovations Using ICCT Underlying Technologies,2023
https://openalex.org/W4399547912,artificial general intelligence,From Large Language Models to Large Multimodal Models: A Literature Review,2024
https://openalex.org/W4404592198,artificial general intelligence,Integrating artificial intelligence with smartphone-based imaging for cancer detection in vivo,2024
https://openalex.org/W4226193772,artificial general intelligence,Consciousness: A Paradigm Towards Artificial General Intelligence,2021
https://openalex.org/W3159416631,blockchain,An Investigation into Smart Contract Deployment on Ethereum Platform Using Web3.js and Solidity Using Blockchain,2021
https://openalex.org/W2983935921,blockchain,Blockchain-Based Trustworthy Edge Caching Scheme for Mobile Cyber-Physical System,2019
https://openalex.org/W2745399905,blockchain,Blockchain – From Public to Private,2017
https://openalex.org/W2995114886,blockchain,Practical Lattice-Based Multisignature Schemes for Blockchains,2019
https://openalex.org/W4390659386,blockchain,Dynamic AES Encryption and Blockchain Key Management: A Novel Solution for Cloud Data Security,2024
https://openalex.org/W3029027951,blockchain,BFT-Store: Storage Partition for Permissioned Blockchain via Erasure Coding,2020
https://openalex.org/W3125826426,blockchain,"A literature review of blockchain technology applications in supply chains: A comprehensive analysis of themes, methodologies and industries",2021
https://openalex.org/W2889996626,blockchain,The Blockchain for Domain Based Static Sharding,2018
https://openalex.org/W4313431392,blockchain,Blockchain adoption and channel selection strategies in a competitive remanufacturing supply chain,2022
https://openalex.org/W2887486920,blockchain,A Privacy-Preserving Trust Model Based on Blockchain for VANETs,2018
https://openalex.org/W3004049434,cryptocurrency,"Are Cryptocurrencies the New ""Financial Weapons of Mass Destruction""?",2019
