keyword,publication_year,count,normalized_count
big data,2010,2,0.0016012810248198558
big data,2011,19,0.01521216973578863
big data,2012,135,0.10808646917534027
big data,2013,457,0.36589271417133706
big data,2014,802,0.6421136909527622
big data,2015,1026,0.8214571657325861
big data,2016,1185,0.9487590072057646
big data,2017,1249,1.0
big data,2018,1237,0.9903923138510808
big data,2019,1154,0.9239391513210569
big data,2020,982,0.7862289831865492
big data,2021,746,0.5972778222578062
big data,2022,466,0.37309847878302643
big data,2023,280,0.22417934347477983
big data,2024,97,0.07766212970376302
big data,2025,6,0.004803843074459567
quantum computing,2010,160,0.13114754098360656
quantum computing,2011,172,0.14098360655737704
quantum computing,2012,189,0.15491803278688523
quantum computing,2013,189,0.15491803278688523
quantum computing,2014,190,0.1557377049180328
quantum computing,2015,199,0.16311475409836065
quantum computing,2016,238,0.19508196721311474
quantum computing,2017,260,0.21311475409836064
quantum computing,2018,394,0.32295081967213113
quantum computing,2019,530,0.4344262295081967
quantum computing,2020,700,0.5737704918032787
quantum computing,2021,887,0.7270491803278688
quantum computing,2022,971,0.7959016393442623
quantum computing,2023,1220,1.0
quantum computing,2024,1105,0.9057377049180327
quantum computing,2025,435,0.35655737704918034
artificial general intelligence,2010,24,0.05063291139240506
artificial general intelligence,2011,22,0.046413502109704644
artificial general intelligence,2012,28,0.05907172995780591
artificial general intelligence,2013,20,0.04219409282700422
artificial general intelligence,2014,32,0.06751054852320675
artificial general intelligence,2015,27,0.056962025316455694
artificial general intelligence,2016,31,0.06540084388185655
artificial general intelligence,2017,53,0.11181434599156118
artificial general intelligence,2018,108,0.22784810126582278
artificial general intelligence,2019,117,0.2468354430379747
artificial general intelligence,2020,206,0.4345991561181435
artificial general intelligence,2021,220,0.4641350210970464
artificial general intelligence,2022,249,0.5253164556962026
artificial general intelligence,2023,474,1.0
artificial general intelligence,2024,449,0.9472573839662447
artificial general intelligence,2025,318,0.6708860759493671
blockchain,2010,1,0.0005002501250625312
,2011,0,0.0
,2012,0,0.0
blockchain,2013,2,0.0010005002501250625
blockchain,2014,1,0.0005002501250625312
blockchain,2015,37,0.018509254627313655
blockchain,2016,159,0.07953976988494248
blockchain,2017,569,0.2846423211605803
blockchain,2018,1203,0.6018009004502252
blockchain,2019,1731,0.8659329664832416
blockchain,2020,1999,1.0
blockchain,2021,1847,0.9239619809904952
blockchain,2022,1437,0.7188594297148574
blockchain,2023,784,0.3921960980490245
blockchain,2024,226,0.11305652826413207
blockchain,2025,2,0.0010005002501250625
,2010,0,0.0
cryptocurrency,2011,1,0.0006480881399870382
cryptocurrency,2012,1,0.0006480881399870382
cryptocurrency,2013,7,0.004536616979909268
cryptocurrency,2014,45,0.02916396629941672
cryptocurrency,2015,92,0.059624108878807515
cryptocurrency,2016,123,0.0797148412184057
cryptocurrency,2017,270,0.17498379779650033
cryptocurrency,2018,875,0.5670771224886585
cryptocurrency,2019,1241,0.8042773817239145
cryptocurrency,2020,1202,0.7790019442644199
cryptocurrency,2021,1198,0.7764095917044718
cryptocurrency,2022,1428,0.9254698639014906
cryptocurrency,2023,1543,1.0
cryptocurrency,2024,1074,0.696046662346079
cryptocurrency,2025,379,0.24562540505508748
metaverse,2010,34,0.009889470622454915
metaverse,2011,23,0.006689936009307737
metaverse,2012,22,0.006399069226294357
metaverse,2013,21,0.006108202443280977
metaverse,2014,19,0.005526468877254218
metaverse,2015,8,0.002326934264107039
metaverse,2016,11,0.0031995346131471784
metaverse,2017,9,0.002617801047120419
metaverse,2018,9,0.002617801047120419
metaverse,2019,9,0.002617801047120419
metaverse,2020,18,0.005235602094240838
metaverse,2021,181,0.052646887725421754
metaverse,2022,1970,0.5730075625363583
metaverse,2023,3438,1.0
metaverse,2024,2866,0.8336242001163467
metaverse,2025,1225,0.3563118091913903
,2010,0,0.0
,2011,0,0.0
edge computing,2012,2,0.0011862396204033216
edge computing,2013,2,0.0011862396204033216
edge computing,2014,2,0.0011862396204033216
edge computing,2015,12,0.0071174377224199285
edge computing,2016,92,0.054567022538552785
edge computing,2017,345,0.20462633451957296
edge computing,2018,788,0.46737841043890865
edge computing,2019,1318,0.7817319098457889
