keyword,publication_year,count,normalized_count
artificial general intelligence,2010,24,0.05063291139240506
artificial general intelligence,2011,22,0.046413502109704644
artificial general intelligence,2012,28,0.05907172995780591
artificial general intelligence,2013,20,0.04219409282700422
artificial general intelligence,2014,32,0.06751054852320675
artificial general intelligence,2015,27,0.056962025316455694
artificial general intelligence,2016,31,0.06540084388185655
artificial general intelligence,2017,53,0.11181434599156118
artificial general intelligence,2018,108,0.22784810126582278
artificial general intelligence,2019,117,0.2468354430379747
artificial general intelligence,2020,206,0.4345991561181435
artificial general intelligence,2021,220,0.4641350210970464
artificial general intelligence,2022,249,0.5253164556962026
artificial general intelligence,2023,474,1.0
artificial general intelligence,2024,449,0.9472573839662447
artificial general intelligence,2025,318,0.6708860759493671
