keyword,publication_year,count,normalized_count
big data,2010,2,0.0016012810248198558
big data,2011,19,0.01521216973578863
big data,2012,135,0.10808646917534027
big data,2013,457,0.36589271417133706
big data,2014,802,0.6421136909527622
big data,2015,1026,0.8214571657325861
big data,2016,1185,0.9487590072057646
big data,2017,1249,1.0
big data,2018,1237,0.9903923138510808
big data,2019,1154,0.9239391513210569
big data,2020,982,0.7862289831865492
big data,2021,746,0.5972778222578062
big data,2022,466,0.37309847878302643
big data,2023,280,0.22417934347477983
big data,2024,97,0.07766212970376302
big data,2025,6,0.004803843074459567
