keyword,publication_year,count,normalized_count
blockchain,2010,1,0.0005002501250625312
,2011,0,0.0
,2012,0,0.0
blockchain,2013,2,0.0010005002501250625
blockchain,2014,1,0.0005002501250625312
blockchain,2015,37,0.018509254627313655
blockchain,2016,159,0.07953976988494248
blockchain,2017,569,0.2846423211605803
blockchain,2018,1203,0.6018009004502252
blockchain,2019,1731,0.8659329664832416
blockchain,2020,1999,1.0
blockchain,2021,1847,0.9239619809904952
blockchain,2022,1437,0.7188594297148574
blockchain,2023,784,0.3921960980490245
blockchain,2024,226,0.11305652826413207
blockchain,2025,2,0.0010005002501250625
