keyword,publication_year,count,normalized_count
,2010,0,0.0
,2011,0,0.0
edge computing,2012,2,0.0011862396204033216
edge computing,2013,2,0.0011862396204033216
edge computing,2014,2,0.0011862396204033216
edge computing,2015,12,0.0071174377224199285
edge computing,2016,92,0.054567022538552785
edge computing,2017,345,0.20462633451957296
edge computing,2018,788,0.46737841043890865
edge computing,2019,1318,0.7817319098457889
edge computing,2020,1564,0.9276393831553974
edge computing,2021,1686,1.0
edge computing,2022,1633,0.968564650059312
edge computing,2023,1336,0.7924080664294187
edge computing,2024,853,0.5059311981020166
edge computing,2025,114,0.06761565836298933
