keyword,publication_year,count,normalized_count
generative ai,2010,1,0.00021570319240724764
generative ai,2011,1,0.00021570319240724764
,2012,0,0.0
,2013,0,0.0
,2014,0,0.0
,2015,0,0.0
,2016,0,0.0
generative ai,2017,3,0.0006471095772217428
generative ai,2018,3,0.0006471095772217428
generative ai,2019,6,0.0012942191544434857
generative ai,2020,16,0.003451251078515962
generative ai,2021,22,0.004745470232959448
generative ai,2022,48,0.010353753235547885
generative ai,2023,1819,0.39236410698878343
generative ai,2024,4636,1.0
generative ai,2025,2823,0.6089301121656601
