article,year,month,views,buzzword
Artificial_intelligence,2015,7,154628,Artificial intelligence
Artificial_intelligence,2015,8,152753,Artificial intelligence
Artificial_intelligence,2015,9,186343,Artificial intelligence
Artificial_intelligence,2015,10,165229,Artificial intelligence
Artificial_intelligence,2015,11,163022,Artificial intelligence
Artificial_intelligence,2015,12,157034,Artificial intelligence
Artificial_intelligence,2016,1,167471,Artificial intelligence
Artificial_intelligence,2016,2,160975,Artificial intelligence
Artificial_intelligence,2016,3,191926,Artificial intelligence
Artificial_intelligence,2016,4,181614,Artificial intelligence
Artificial_intelligence,2016,5,193471,Artificial intelligence
Artificial_intelligence,2016,6,163772,Artificial intelligence
Artificial_intelligence,2016,7,154813,Artificial intelligence
Artificial_intelligence,2016,8,151368,Artificial intelligence
Artificial_intelligence,2016,9,205468,Artificial intelligence
Artificial_intelligence,2016,10,321605,Artificial intelligence
Artificial_intelligence,2016,11,204970,Artificial intelligence
Artificial_intelligence,2016,12,198649,Artificial intelligence
Artificial_intelligence,2017,1,219953,Artificial intelligence
Artificial_intelligence,2017,2,207342,Artificial intelligence
Artificial_intelligence,2017,3,244205,Artificial intelligence
Artificial_intelligence,2017,4,216074,Artificial intelligence
Artificial_intelligence,2017,5,253139,Artificial intelligence
Artificial_intelligence,2017,6,211736,Artificial intelligence
Artificial_intelligence,2017,7,234765,Artificial intelligence
Artificial_intelligence,2017,8,272027,Artificial intelligence
Artificial_intelligence,2017,9,306173,Artificial intelligence
Artificial_intelligence,2017,10,318141,Artificial intelligence
Artificial_intelligence,2017,11,341511,Artificial intelligence
Artificial_intelligence,2017,12,301305,Artificial intelligence
Artificial_intelligence,2018,1,318672,Artificial intelligence
Artificial_intelligence,2018,2,283929,Artificial intelligence
Artificial_intelligence,2018,3,325164,Artificial intelligence
Artificial_intelligence,2018,4,313622,Artificial intelligence
Artificial_intelligence,2018,5,332351,Artificial intelligence
Artificial_intelligence,2018,6,286271,Artificial intelligence
Artificial_intelligence,2018,7,302742,Artificial intelligence
Artificial_intelligence,2018,8,301544,Artificial intelligence
Artificial_intelligence,2018,9,305888,Artificial intelligence
Artificial_intelligence,2018,10,345573,Artificial intelligence
Artificial_intelligence,2018,11,348096,Artificial intelligence
Artificial_intelligence,2018,12,304470,Artificial intelligence
Artificial_intelligence,2019,1,314504,Artificial intelligence
Artificial_intelligence,2019,2,305825,Artificial intelligence
Artificial_intelligence,2019,3,331799,Artificial intelligence
Artificial_intelligence,2019,4,366035,Artificial intelligence
Artificial_intelligence,2019,5,316743,Artificial intelligence
Artificial_intelligence,2019,6,290375,Artificial intelligence
Artificial_intelligence,2019,7,316243,Artificial intelligence
Artificial_intelligence,2019,8,297669,Artificial intelligence
Artificial_intelligence,2019,9,341983,Artificial intelligence
Artificial_intelligence,2019,10,339881,Artificial intelligence
Artificial_intelligence,2019,11,333679,Artificial intelligence
Artificial_intelligence,2019,12,279140,Artificial intelligence
Artificial_intelligence,2020,1,317016,Artificial intelligence
Artificial_intelligence,2020,2,319278,Artificial intelligence
Artificial_intelligence,2020,3,270533,Artificial intelligence
Artificial_intelligence,2020,4,290156,Artificial intelligence
Artificial_intelligence,2020,5,293118,Artificial intelligence
Artificial_intelligence,2020,6,260703,Artificial intelligence
Artificial_intelligence,2020,7,260298,Artificial intelligence
Artificial_intelligence,2020,8,259656,Artificial intelligence
Artificial_intelligence,2020,9,275360,Artificial intelligence
Artificial_intelligence,2020,10,292349,Artificial intelligence
Artificial_intelligence,2020,11,281266,Artificial intelligence
Artificial_intelligence,2020,12,268852,Artificial intelligence
Artificial_intelligence,2021,1,261391,Artificial intelligence
Artificial_intelligence,2021,2,243879,Artificial intelligence
Artificial_intelligence,2021,3,271457,Artificial intelligence
Artificial_intelligence,2021,4,234934,Artificial intelligence
Artificial_intelligence,2021,5,234791,Artificial intelligence
Artificial_intelligence,2021,6,217516,Artificial intelligence
Artificial_intelligence,2021,7,358191,Artificial intelligence
Artificial_intelligence,2021,8,415143,Artificial intelligence
Artificial_intelligence,2021,9,419394,Artificial intelligence
Artificial_intelligence,2021,10,390716,Artificial intelligence
