keyword,n,pearson,spearman
artificial general intelligence,10,0.12051227726690593,0.1285272772849768
augmented reality,10,-0.3381062806251753,-0.43041423101055837
big data,10,0.46719452949651563,0.528469143715965
blockchain,10,0.28439822171338963,0.25080502542915534
chatbot,10,-0.12475827489656913,-0.058461815204513976
cryptocurrency,10,0.3079614856855037,0.39821500813123506
edge computing,10,-0.27784001816543286,-0.3619211759357432
generative ai,10,0.16886428502260437,0.15504341823651058
metaverse,10,0.11401828804357772,0.3541666666666665
quantum computing,10,0.15615131374654645,0.12659242088545833
